code,product_name,ingredients_text,allergens,allergens_en,additives_en,confirmed_allergens,potential_allergens,evidence_level,evidence_text,is_food,review_status
00000307,potage instantané poireau,"Ingredients matodextrine, fecule de pomme de tere poEAR shya (12 %). sek epices et aromates épinard ardmes lait reme enpode tarine a ble Anti-mottantcarbonate de magndsum Analyse nutritionnelle movenne Pour 100 a Par nertion /90 a)",,,,,,,,,PENDING
00000319,,"ORGANIC CHEDDAR CHEESE (ORGANIC MILK, SALT, CHEESE CULTURES AND ENZYMES), ORGANIC BUTTERMILK, SALT, AND DISODIUM PHOSPHATE",,,E339ii - Disodium phosphate,,,,,,PENDING
00000383,No chicken kiyvs,"Water, Mushroom (20%), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Rapeseed Oil, Pea Flour, Stabiliser: Methyl Cellulose; Sustainable Palm Oil, Wheat Gluten (2.5%), Coconut Oil, Pea Fibre, Pea Protein (1.5%), Coconut Milk, Wheat Starch, Pea Starch, Garlic Purée (1%), Yeast Extract, Salt, Roast Garlic Puree (0.5%), Parsley, Dried Onion, Flavouring, Olive Oil, Yeast, Sugar, Preservative: Potassium Sorbate, Sodium Metabisulphite (Sulphites); Lemon Concentrate, Emulsifier: Mono - and Diglycerides of Fatty Acids; Colour: Beta-carotene; White Pepper, Cracked Black Pepper, Onion Powder, Black Pepper, Garlic Powder, Raising Agent: Ammonium Bicarbonate; Paprika Extract.",en:sulphur-dioxide-and-sulphites,,"E160a - Carotene,E160ai - Beta-carotene,E160c - Paprika extract,E202 - Potassium sorbate,E223 - Sodium metabisulphite,E461 - Methyl cellulose,E471 - Mono- and diglycerides of fatty acids,E503 - Ammonium carbonates,E503ii - Ammonium hydrogen carbonate",,,,,,PENDING
00000417,Owmy,"Whey Protein Concentrate, Whey Protein Isolate, Natural Chocolate, Cocoa Powder, Xanthan Gum, Sea Salt, Sucralose. Contains: Milk Manufactured for Nature's Peak 16171 S Bringhurst Blvd. Suite 600 Bluffdale, UT 84065 801-341-2845 NaturesPeak.net NATURE'S - PEAK-",,,"E415 - Xanthan gum,E955 - Sucralose",,,,,,PENDING
00000459,Keto Pancake & Waffle mix,"ALMOND FLOUR,  OAT FIBER, WHEY PROTEIN, MODIFIED FOOD STARCH, POTASSIUM BITARTRATE, NATURAL MONK FRUIT EXTRACT POWDER, VANILLA FLAVOR, BAKING SODA, CINNAMON, SALT, XANTHAN GUM",,,"E336 - Potassium tartrates,E336i - Monopotassium tartrate,E415 - Xanthan gum,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate",,,,,,PENDING
00000471,ISO whey zero,"Lion's Mane Mushroom, Turkey Tail Mushroom, Reishi Mushroom, Chaga Mushroom, Maitake Mushroom, Shiitake Mushroom, King Trumpet Mushroom, Royal Sun Mushroom, Willow Bracket Mushroom, Organic Coffee Powder",,,,,,,,,PENDING
00000536,Natural Honey Wildflower,"Lait de vache pasteurisé (origine: France), sel, ferments (lait), conservateur: E235.",en:milk,,E235 - Natamycin,,,,,,PENDING
00000734,"Enjoy Life Chewy Bars, Soy free, Nut free, Gluten free, Dairy free, Non GMO, Vegan, Caramel Blondie","Pure Life Balanced Dry Blend (Hulled Sunflower Kernels, Cassava Flour, White Pearled-Grain Sorghum Flour, Quinoa Flakes), Tapioca Syrup, Chocolate Chips (Cane Sugar, Unsweetened Chocolate, Cocoa Butter), Date Paste, Safflower Oil, Palm Oil Shortening, Caramel Pieces (Organic Sugar, Organic Tapioca Syrup), Quinoa Flakes, Vegetable Glycerin, Ground Flaxseed, Water, Salt, Vanilla Extract, Natural Flavor, Rosemary Extract.",,,"E392 - Extracts of rosemary,E422 - Glycerol",,,,,,PENDING
00000739,Assortiment d'amandes cacaotés et croustilles,"Amandes enrobées de chocolat au lait et poudre de cacao : chocolat au lait 65% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, arôme naturel de vanille), amande torréfiée 33%, poudre de cacao maigre 2%. - Billes de céréales enrobées au chocolat au lait praliné : chocolat au lait 65% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, lait écrémé en poudre, émulsifiant : lécithines (tournesol), arôme naturel de vanille), praliné 21% (noisette 50%, sucre, émulsifiant : lécithines (tournesol)), céréales croustillantes 12% (farine de blé, gluten de blé, farine de malt de blé, poudre à lever: carbonates de sodium, sel), poudre de cacao maigre.","en:gluten,en:milk,en:nuts",,"E322 - Lecithins,E322i - Lecithin,E500 - Sodium carbonates",,,,,,PENDING
00000749,Cream soup air corners,"Grain 65% (corn grits 100%), vegetable oil 20%, corn bisque-flavored complex seasoning, polydextrose 5%, milk powder 2%",,,,,,,,,PENDING
00000777,Legion Whey (French Vanilla),"Ingredienti Magnesio bisglicinato in polvere, Idrossido di calcio, Involucro della capsula (Idrossipropilmetilcellulosa), Acido L-Ascorbico (Vitamina C), Cloruro di potassio, Fumarato ferroso, Polvere di calendula (Calendula officinalis, Fiore) (Luteina), Tocoferolo acetato (Vitamina E), Niacina (Vitamina B3), Gluconato di manganese, Ossido di zinco, Estratto di tagete francese (Tagetes erecrta L., Fiore) (Zeaxantina), Gluconato di rame, Acido pantotenico (Vitamina B5), Retinolo acetato (Vitamina A), Colecalciferolo (Vitamina D3), Riboflavina (Vitamina B2), Tiamina HCI (Vitamina B1), Piridossina HCl (Vitamina B6), Cromo picolinato, loduro di potassio, Metilcobalamina (Vitamina B12), Acido folico (Vitamina B9), Biotina HCl (Vitamina B7), Molibdato di sodio, Estratto di crusca di riso.",,,,,,,,,PENDING
00000893,Bio Whey Protein Kakao,Organic Medjool Dates,,,,,,,,,PENDING
00000897,,"Céréales (30%) (farine de blé, farine d'avoine, farine de maïs, farine de riz), composé choc (20%) (sucre, graisse végétale hydrogénée, solides du lait, cacao en poudre, émulsifiants [lécithine de soja, E492, E476]), sucre, sirop de glucose, sirop inverti, extrait sec de glucose, protéine de blé, huile de tournesol, extrait de malt d'orge, mélasse, humectant (glycérol), sel, sucre caramélisé, lait écrémé en poudre, agent levant (bicarbonate de sodium), arôme naturel, émulsifiant (lécithine de soja) , colorants (paprika, curcuma), extrait de romarin.","en:gluten,en:soybeans",,"E322 - Lecithins,E322i - Lecithin,E392 - Extracts of rosemary,E422 - Glycerol,E476 - Polyglycerol polyricinoleate,E492 - Sorbitan tristearate,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate",,,,,,PENDING
00000953,Herbalife,"Proteína isolada de soia, frutose, fibra de aveia,inule e doreto de potássio, triglicerídeos de cadeia média, caseinato de calc, rn de leite, mix de vitaminas e minerais (maltodextrina, ortofosfato fémica ia de sódio, sulfato de zinco, niacinamida, vitamina A, gluconato de cobe De e ácido fólico), fosfato de cálcio dibásico, óxido de magnésio, estabiliane espessantes goma xantana, carragena e pectina, antiumectante dichi de de soja, corante natural vermelho de beterraba, aromatizante e eduilcorae anganes, vitamina B6 jodeto de notássio, vitamina B12, GLUITE CONTEM DERIVADOS DE AVEIA, LEITE, PEIXE* E SOJA. Proveniente da gelatina de peixe utilizada para proteção da Vitamina A. CONTEM Formulação exclusiva da: HERBALIFE INTERNATIONAL OF AMERICA, INC. Los Angeles, CA 90080-021 SA Para: HERBALIFE INTERNATIONAL DO BRASIL LTDA., Rua Marina Ciufuli Zanfelice, 371-Lapa-CEP 06us CNP): 61.297.78410003-18. Indústria Brasileira. CNP): 00.292.858/0001-77. TRATIVAValidade e Lote: vide impressão Produto isento da obrigatoriedade de reqistro 7de 06 de Agst-t MAGEM","en:fish,en:milk,en:soybeans",,,,,,,,PENDING
0000100810429,Eirn original curry Sauce,"Wheat Flour Sugar Vegetable Fat D Curry Powder (12.3%) (Coriander, Turmeric, Cumin, Ginger, Cassia, Fenugreek, Chilli, Clove, Salt, Mustard Flour, Black Pepper, Garlic Powder, Fennel) Vegetable (Tomato) Salt Flavourings (contains Celery) Glucose Syrup Flavour Enhancers (Monosodium Glutamate, Sodium 5'-Ribonucleotides) Citric Acid Milk Proteins Soya Flour Alleray Advice",,,E621 - Monosodium glutamate,,,,,,PENDING
0000101903605,Le Petit Bridé,"Viande de porc 151g pour 100g, sel, sucres (LACTOSE, dextrose), alcools, épices, ail, ferments, conservateur salpêtre cubique. Boyau naturel de porc traces possibles de fruits à coques 30% de gras comparé à la valeur de référence Ciqual 2016",,,,,,,,,PENDING
0000103224110,Riovida Burst,"Apple juice (Malus domestica (Borkh.) Borkh.), grape juice (Vitis vinifera L.), blueberry juice (Vaccinium myrtillus L.), açaí (Euterpe oleracea C. Martius), pomegranate juice (Punica granatum L.), emulsifier (vegetable glycerin), elderberry juice (Sambucus nigra L.), 4Life Tri-Factor Formula (made from bovine colostrum (milk) and egg yolk), gelling agent (xanthan gum, guar gum), berry cream flavor, vitamin C, and emulsifier (monoglycerides).",en:milk,,"E412 - Guar gum,E415 - Xanthan gum,E422 - Glycerol",,,,,,PENDING
0000103227577,PRO-TF Chocolate,"Whey protein (milk, soy), maltodextrin, egg white protein, cocoa powder, natural chocolate flavor, medium chain triglycerides, 4Life Tri-Factor Formula (made from colostrum (milk) and egg yolk), sodium chloride, thickeners (xanthan gum, sodium carboxymethylcellulose), and sweeteners (sucralose, acesulfame K).","en:eggs,en:milk,en:soybeans",,"E415 - Xanthan gum,E466 - Sodium carboxy methyl cellulose,E950 - Acesulfame k,E955 - Sucralose",,,,,,PENDING
0000103529964,impact protein whey,"whey protein concentrate (milk) (96%) (contains emulsifiers (soya lecithin, sunflower lecithin)), fat reduced cocoa powder, flavouring, sweetener (sucralose). allergen information: for allergens, see ingredients in bold. important information: store in a cool, dry place away from direct sunlight. this product is intended to be used alongside a varied and balanced diet and a healthy lifestyle. suitable for vegetarians. *naturally occurring bcaas fr: concentré de protéines de lactoserum en poudre prête à l'emploi. saveur chocolat onctueux. contient de l'edulcorant. conseils d'utilisation: mélanger 30g (environ 1 cuillère) de poudre à 250ml d'eau ou de lait et consommer 30 minutes avant et/ou après un entrainement. la poudre se tasse avec le temps. il est conseillé de la peser pour obtenir une dose précise. portion: 30g, portions par contenant: 33. valeurs nutritionnelles: pour 100g (par portion de 30g), valeur énergétique 1590kj/",en:milk,,"E322 - Lecithins,E322i - Lecithin,E955 - Sucralose",,,,,,PENDING
0000104647847,golden barrel butter flavored coconut oil,"refined coconut oil, artificial butter flavor, beta carotene color. sta",,,,,,,,,PENDING
0000105753078,Bread,"Water, white flour, honey, corn syrup, yeast, salt, cheddar, and garlic.",en:milk,,,,,,,,PENDING
00001058,"Enjoy Life Protein Bites, Soy free, Nut free, Gluten free, Dairy free, Non GMO, Vegan, Chocolate SunSeed Butter","Semisweet Chocolate Morsels (unsweetened chocolate, cane sugar, cocoa butter), Organic Invert Syrup (organic cane sugar, water). Rice Protein, Sunflower Seed Spread (roasted sunflower kernels, cane sugar, salt), Roasted and Salted Pumpkin Seeds (pumpkin seeds, safﬂower oil, salt), Natural Cocoa Powder. Chia, Palm Oil, Organic Cane Sugar (organic cane sugar, organic tapioca starch), Vanilla Extract.",,,,,,,,,PENDING
00001079,berryhill,berryhill hazelnut aod setead natural flavor with cacea & atim milk utz certiried net wt 13 0z 0 cocoa,,,,,,,,,PENDING
0000108703174,ost,"quaker rolled oats (77%), skimmed milk powder, anticaking agent (calcium phosphate).",,,,,,,,,PENDING
0000108780106,Porridge To go,"focons davoine complete (36%, arine d avoine complete (14%) sirop de sucre (14%| oligoructose sucre brun cereales croustilantes (arine de riz. farine d'avoine suare, carbonate de calaum, extrait de mat d orge, hule de tournesoli emulsiiants (glycerol lecthine de soja, amidon moditfe, arine damande moulue, poudre de lait ecreme, antioxydant extrait de tocopherol, poudre a lever (bicarbonate de socium se, carbonate de calcum aome naturel Inormations alergeness Les aleroens sont earts en gras. Peut conteni des traces de noix, ble, sesame et de Cauetes",,,"E422 - Glycerol,E502 - Carbonates",,,,,,PENDING
0000109092026,Purée de pommes de terre,"Patates, sel, sucre, lait",,,,,,,,,PENDING
00001092,Organic Chicken & Duck Feed - Layer Mash 18%,"Maltodextrin, Zucker, Süßmolkenpulver, Calciumcaseinat, Soja Kakaopulver stark entölt, Aroma, Tri-Kaliumcitrat, Verdickungsmittel (Guaremme Cabiumcarbonat, Magnesiumoxid, Eisenpyrophosphat, Zinkoxid, Selenhefe, Ascorb e Vitamin C), Niacinamide, DL-Alpha-Tocopheryl Acetat (Vitamin E), D-Calcium Pat (Pantothensäure), Riboflavin (Vitamin B2), Pyrodoxinhydrochlorid (Vitamin Thiaminehydrochlorid (Vitamin B1), Folsäure, Biotin, Methylcobalamin (Vitamin Mangansulfat, Kupferglukonat, Natriumjodit, Vitamin A (Retinylacetat), a Chiecalciferol). Verzehrempfehlung: 1 Portion mit Wasser (50 g) (2 gehäufte Messlöffel) enhält 195 kcal (823 Be Anrühren in 250 ml Milch statt mit Wasser erhöht sich der Brennwert Je nach Bedarf empfehlen wir über den Tag hinweg 2-5 Portionen. der Portion von 195 kcal um 159 kcal je Portion auf insgesamt 354 kcal. Lagerung: Trocken War vor W Lai einer Tempera",,,,,,,,,PENDING
00001100,Cigarettes Fourrées Chocolat Noisettes,"Fourrage chocolat noisette 55% (chocolat en poudre 44.5%* (sucre, cacao en poudre), graisses de coprah et de palmiste, sucre,_noisette_7,5%';, _lait_écrémé en poudre, émulsifiant : lécithines (_soja_), arôme), farine de blé, sucre, fructose,_lait_écrémé en poudre, graisse de coprah, colorant: caramel ordinaire, émulsifiant: lécithines (_soja_), sel.  *exprimés sur le fourrage équivalent respectivement à 24,4% et 4,1% sur l'ensemble du produit.","en:gluten,en:milk,en:nuts,en:soybeans",,"E150a - Plain caramel,E322 - Lecithins",,,,,,PENDING
00001101,Organic Goat Feed - Mash,"Maida, sugar, edible veg fat, salt,milk solids, yeast, vanilla powder, improvers",,,,,,,,,PENDING
0000111103201,Isalean,"Whey protein concentrate (milk), milk protein concentrate, isomaltooligosaccharides, skim milk powder, fructose, sunflower oil powder (milk), cocoa powder, olive oil powder, maltodextrin, flaxseed powder, thickener (xanthan gum), natural flavours, medium-chain triglyceride oil powder, calcium phosphate, magnesium oxide, sweetener (steviol glycosides), alfalfa juice concentrate, inulin, rice amino acid, emulsifier (soy lecithin), anti-caking agent (silicon dioxide), magnesium stearate, sea salt, lactase powder, invertase powder, lipase powder, psyllium seed powder, vitamin C (ascorbic acid), vitamin A (beta carotene), zinc oxide, vitamin E (d-alpha-tocopheryl acid succinate), nicotinamide, lactobacillus acidophilus, vitamin D3 (cholecalciferol), vitamin B6 (pyridoxine hydrochloride), vitamin B5 (calcium pantothenate), vitamin B2 (riboflavin), vitamin B1 (thiamin hydrochloride), folic acid, potassium iodide, sodium selenite, vitamin B7 (biotin), vitamin B12 (cyanocobalamin)",en:milk,,"Amino acids,E322 - Lecithins,E322i - Lecithin,E415 - Xanthan gum,E551 - Silicon dioxide,E572 - Magnesium stearate,E960 - Steviol glycosides,Potassium iodide",,,,,,PENDING
00001112,"Enjoy Life Protein Bites, Soy free, Nut free, Gluten free, Dairy free, Non GMO, Vegan, Cranberry Orange","Chocolate (Cane Sugar, Unsweetened Chocolate, Cocoa Butter), Roasted and Salted Pumpkin Seeds (Pumpkin Seeds, Safflower Oil, Salt), Rice Protein, Organic Invert Syrup (Organic Cane Sugar, Water), Palm Shortening, Organic Cane Sugar, Chia Seeds, Cocoa Powder, Natural Flavors, Dried Cranberries (Cranberries, Sugar, Sunflower Oil), Candied Orange Peel (Orange Peel, Sugar, Safflower Oil, Ascorbic Acid, Citric Acid), Vanilla Extract.",,,E330 - Citric acid,,,,,,PENDING
00000486,Hydrolyzed Multi Collagen,"Suggested Use: Mix, shake, or blend 1 scoop with 8 oz. of your favorite beverage. For best results use daily To cd water without clumping, mix with room temperature water first and then add ice. Supplement Facts TYPICAL COLLAGEN PEPT Servings Per Container: 45 Calories Protein Serving Size Scoop (Approx. 10 g) AMINO ACID PROFILE Amount Per Serving %DV Alanine 784 mg Leucine 40 Arginine 706 mg Lysine 9g Aspartic Acid 552 mg Methionine 100% Hydrolyzed Multi Collagen 20 mg 1% Glutamic Acid 970 mg Phenylalanine 10 g 1258 Glycine 2,160 mg Proline Histidine!! 60 mg Serine 91 Contains: egg fish. Hydroxylysine Bovine Collagen Peptides, Chicken Collagen Peptides, Marine Collagen Peptides, Eggshell Membrane Collagen Peptides Daily Value (DV) not established. Celly Manufactured for: Doctor's Recipes (800) 487-6849 www.DoctorsRecipes.com  Sun Lakes, AZ 85248 10 grams per scoop is an average. Individual scooping Yeout side is packaged by weight, not by volume. may yeld slightly less or slightly more than 10 of comments occurs over time and cannot be avoided. color, texture, flavor, solubility, and other traits Moda High Levels of EAAS No Lumps Dissolves Easily in or Clumps Hot or Cold Liquids 107 mg Threonine Hydroxyproline 1,075 mg Tyrosine Isoleucine 125 mg Valine Essential amino acids 11 Contains 8 of 9 essential amino acids A Average milligrams per serving abra ENJOY IN YOUR FAVORITE RE Mix Shake FOR BEST MIXING RESULTS Shake container to mix A Add powder to cup beve d Pour liquid on top of p",,,,,,,,,PENDING
00000721,biscuits cuillers,"Sucre, œufs frais (34%), farine de blé, sirop de sucre inverti, stabilisant glycérol, arôme, sel, acidifiant tartrates de potassium, épaississant : gomme xanthane.","en:eggs,en:gluten",,"E336 - Potassium tartrates,E415 - Xanthan gum,E422 - Glycerol",,,,,,PENDING
00000751,Multi Collagen Protein,"Egg, Fish (Salmon & Mackerel).","en:eggs,en:fish",,,,,,,,PENDING
00000996,Alfajor Dulce de leche,"Dulce de leche, harina de trigo enriquecida según ley 25630 (harina de trigo, hierro, ácido fólico, tiamina, riboflavina, niacina),, azúcar, margarina vegetal, huevo, agua, jarabe de maíz de alta fructosa, aromatizante (vainillina)","en:eggs,en:gluten",,,,,,,,PENDING
0000103227563,,"103 22 7 563* 020321EU Servings per Container: 60 Porciones por Caja: 60 Isomaltulose/Isomaltulosa Taurine/Taurina L-Glutamine/L-Glutamina Green Tea/Té verde Caffeine/Cafeína L-Arginine/L-Arginina Yerba Mate/Hierba Maté Caffeine/Cafeína Guarana/Guaraná Caffeine/Cafeína Colostrum/Calostro Egg Yolk/Yema de huevo Per Serving (2,5 g)/ Por Porción (2,5 g) 660 mg 250 mg *RI: Reference Intakes **VRN: Valores de Referencia de Nutrientes 250 mg 150 mg 15 mg 100 mg 75 mg 22,5 mg 30 mg 15 mg 17,5 mg 7,5 mg % RI* % VRN**",,,,,,,,,PENDING
0000105748562,,"Tomatoes (46%), Pasta Shapes (45%, Water, Durum Wheat Semolina), Water, Sugar, Modified Cornflour, Salt, Acid-Citric Acid, Spice, Garlic Salt, Onion Extract, Spice Extract, Iron Sulphate, Vitamin D. May contain Egg.",,,E330 - Citric acid,,,,,,PENDING
00001098,Goman Kanelbolle med Smør 85g,"Hvetemel, melk, perlesukker, sukker, smør 7 %, vann, brunt sukker, gjær, margarin (rapsolje, vann, emulgator (E 471, raps), salt, vitamin A, vitamin D), egg, tørket surdeig av hvete, semulegryn, malt av hvete, kanel 0,5 %, salt, modifisert maisstivelse, kardemomme, kasein (melk), stabilisator (E 450), aroma ( vanilin), fullherdet rapsolje, melbehandlingsmiddel (E 300).",,,"E300 - Ascorbic acid,E450 - Diphosphates,E471 - Mono- and diglycerides of fatty acids",,,,,,PENDING
0000112301878,pot au feu de légumes aux aromates,"es laisirs % des R.&quot; par NGREDIENTS eau, légumes 27 % (carotte, navet, poireau, pomme de terre, chou vert, céleri, oignon), viande de boeuf cuite 2,2 %, amidon transformé de pomme de terre, sel, arômes (contient : lait, céleri, huile de colza, girofle en poudre, exhausteur de goût: glutamate de sodium, extraits naturels de thym, de laurier et de poivre. Peut contenir des traces de blé et oeuf 3% 3% 1% 3% 3% | | 7% 31% dulte",,,"E14XX - Modified Starch,E621 - Monosodium glutamate",,,,,,PENDING
0000112302581,Délice de 10 Légumes,"Eau, légumes 39 % (carotte, pomme de terre, purée de tomates reconstituée, oignon, poireau, potiron, céleri, petit pois, navet, chou-fleur), lait écrémé reconstitué, amidon modifié, huile de colza, sucre, beurre de Cuisine, sel, arôme. Peut contenir des traces de blé et œuf.",,,E14XX - Modified Starch,,,,,,PENDING
0000112302621,Potiron et vermicelles,"eau, légumes 30% (potiron 17%, carotte, jus de tomates à base de concentré, pomme de terre, oignon), _vermicelles_ cuits 8% (semoule de _blé_, _blanc d'œuf_, amidon transformé de maïs, _crème fraîche_, sel, sucre, arômes (contient du _lait_)","en:eggs,en:gluten,en:milk",,E14XX - Modified Starch,,,,,,PENDING
0000112302636,petit pois carottes et Kiri,"eau, légumes 33 % (oignon, petits pois 9,9 %, carottes 8,6 %, panais), fromage blanc fondu Kiri® 3,1% (fromage blanc, crème, protéines de lait, sels de fonte : polyphosphates, phosphates et citrates de sodium, acide citrique, sel), amidon transformé de mais, crème fraiche, sel, arômes. Peut contenir des traces de céleri, ble et oeuf.",,,"E14XX - Modified Starch,E330 - Citric acid,E452 - Polyphosphates",,,,,,PENDING
0000112302650,Délice de potiron châtaigne,"eau, légumes 43 % (potiron 26%, pomme de terre, carotte, jus de tomates à base de concentré), châtaignes 2,8%, crème, amidon transformé de maïs, sel, sucre, arômes (contient: lait) Peut contenir des traces de céleri, blé et oeuf.",,,E14XX - Modified Starch,,,,,,PENDING
0000112302656,Lié big purSoup mouliné de 10 Légumes,"légumes 55 % (pomme de terre, carotte, oignon, céleri-rave, chou-fleur, poireau, jus de tomates à base de concentré, panais, courgette, cerfeuil), eau, sel, huile de colza, beurre de cuisine, arômes. Peut contenir des traces de blé et oeuf.",,,,,,,,,PENDING
0000112302660,Soupe potiron et kiri,"eau, légumes 36 % (potiron 18 %, carotte, oignon, pomme de terre, purée de tomates à base de concentré), fromage blanc fondu Kiri® 3,1 % (fromage blanc, crème, protéines de lait, sels de fonte : polyphosphates, phosphates et citrates de sodium, acide citrique, sel, amidon transformé de maïs, crème, sel, sucre, arômes, exhausteur de goût: glutamate de sodium, lait écrémé. Peut contenir des traces de céleri, blé et oeuf.",,,"E14XX - Modified Starch,E330 - Citric acid,E452 - Polyphosphates,E621 - Monosodium glutamate",,,,,,PENDING
0000112302669,Gaspacho à l'andalouse,"jus de tomates à base de concentré 33 %, eau, concombre 15 %, poivron rouge 14 %, oignon 5 %, huile d'olive vierge extra 1,2%, vinaigre de vin, sel, ail, sucre, jus concentré de citron, arôme, piment de Cayenne, lait écrémé en poudre.  Peut contenir des traces de 28% céleri, blé (gluten) et oeuf.",en:gluten,,,,,,,,PENDING
0000112302676,Velouté de légumes du soleil,"Légumes*76% (jusdetomates* àbasede concentre53%,carotte "",courgette"" 5,9%, oignon',pommedeterre,poivronrouge 2,1%,haricot vert* ),eau, huiled'olive viergeextra 1,5%,amidon de mais"" ,sel de mer,extrait de levure, ail"",arômesnaturels depoivre, thym,laurier etautres aromes naturels,crème enpoudre. issusdel'agriculture biologique. Peut contenir des traces de céleri, blé(gluten) et oeuf. 1 Le","en:eggs,en:gluten",,,,,,,,PENDING
0000112302683,,"eau, potiron 21%, pomme de terre, oignon, jus de tomates à base de concentré, crème, champignons de Paris, amidon transformé de maïs beurre de cuisine, girolles 1,1%, sel, sucre, arômes (contient lait), persil; ail. Peut contenir des traces de céleri, blé (gluten) et oeuf.",en:gluten,,E14XX - Modified Starch,,,,,,PENDING
0000112302688,,"eau, pomme de terre 15%, oignon 6,6%, lait écrémé reconstitué, amidon transformé de mais, poudre de fromage 1,5%, lardons fumés 1,2% (porc, eau, sel), huile de colza, sel, arômes (contient lait), extraits naturels d'épices. Peut contenir des traces de céleri, de blé (gluten) et d'oeuf.",en:gluten,,E14XX - Modified Starch,,,,,,PENDING
0000112302689,Potiron et j’irai,"4% eau, potiron 19%, carotte, oignon, fromage blanc fondu Kiri 3,1% (fromage blanc, crème, protéines de lait, sels de fonte: polyphosphates phosphates et citrates de sodium, acide citrique, sel, pomme de terre, jus de tomates à base de concentré, amidon transformé de maïs, crème, sel, arômes (contient : lait), lait écrémé en poudre. Peut contenir des traces de céleri, blé et oeuf.",,,"E14XX - Modified Starch,E330 - Citric acid,E331 - Sodium citrates,E452 - Polyphosphates",,,,,,PENDING
0000112302711,Velouté de tomates,"Jus de tomate à base de concentré 65%, eau, amidon de mais, sucre, lait écrémé en poudre, sel, beurre de cuisine, huile de colza, arômes naturels (contient lait), jus de citron concentré. Peut contenir des traces de céleri, blé (gluten)et œuf. 1Le AN NOINN *Conformément à",en:gluten,,,,,,,,PENDING
0000112302754,pur soup' mouliné de 5 légumes verts,"Eau, pomme de terre, courgette, poireau, brocoli, haricot vert, oignon, céleri-rave, épinard, carotte, crème fraiche, amidon de maïs, sel. Contient 29% de légumes verts. Peut contenir des traces de blé (gluten) et oeuf.","en:celery,en:gluten,en:milk,en:none",,,,,,,,PENDING
0000112307261,Velouté de 10 légumes,"Céleris Eau, jus de tomate à base de concentré, pomme de terre, carotte, oignon, poireau, potiron, amidon de mais, céleri, huile de colza, lait écrêmé, beurre de cuisine, sel, petit pois, chou-fleur,navet, arômes naturels (contient lait). Peut contenir des traces de blé (gluten) et œuf. Petitspois Navets 1Le Potiron",en:gluten,,,,,,,,PENDING
0000112307267,Mouliné de Légumes Verts,"Eau,pomme de terre³,courgette³ , poireau³, haricot vert³, oignon³, céleri-rave³, brocoli³, carotte³, épinard³, amidon de mais³, crème³, sel de mer,arôme naturel. Contient 24% de légumes verts. ³Issus de l'agriculture biologique. Peut contenir des traces de blé (gluten) et œuf.",en:gluten,,,,,,,,PENDING
0000112407489,Mouliné de 10 légumes,"Légumes 55% (pomme de terre, carotte, oignon, céleri-rave, chou-fleur, poireau, jus de tomates à base de concentré, panais, courgette, cerfeuil), eau, sel, huile de colza, beurre de cuisine, arômes. Peut contenir des traces de blé (gluten) et œuf.",en:gluten,,,,,,,,PENDING
0000112407490,,"Eau, pomme de terre 17%, poireau 16%, _crème_ fraiche 3%, _lait_ écrémé reconstitué, amidon transformé de maïs, huile de colza, extrait naturel d'oignon, épinard, sel, arômes (contient _lait_)","en:celery,en:eggs,en:gluten",,E14XX - Modified Starch,,,,,,PENDING
0000112407493,velouté de potiron,"Eau, potiron 35%, oignon, pomme de terre, carotte, jus de tomates à base de concentré, crème fraiche 1,7%, amidon transformé de maïs, sel, beurre de cuisine, arômes (contient lait). Peut contenir des traces de céleri, blé (gluten) et oeuf.",en:gluten,,E14XX - Modified Starch,,,,,,PENDING
0000112407504,mouliné  légumes d'autrefois,"Eau, légumes 46% (pomme de terre topinambour 14%, carotte, panais 5,2%, chou-rave 4,9%, chou-fleur), amidon transformé de mais, crème, sel, beurre de cuisine, arômes (contient lait) Peut contenir des traces de céleri, blé (gluten) et oeuf",en:gluten,,E14XX - Modified Starch,,,,,,PENDING
0000112407510,velouté de cresson.,"Eau,pomme de terre 18%, cresson de jardin 4,8%,crème fraîche 2,2%, oignon,amidons transformé de maïs, petits pois, sel,arômes ( contient lait) extrait naturel de poivre. peut contenir des traces de céleri, blé ( gluten ) et œuf.","en:gluten,en:milk",,E14XX - Modified Starch,,,,,,PENDING
00001199,Solène céréales poulet,"antioxydant : érythorbate de sodium, colorant : caramel - origine UE), tomate 33,3%, MAYONNAISE 11,1% (huile de colza 78,9%, eau, jaunes d'OEUF 6%, vinaigre, MOUTARDE [eau, graines de MOUTARDE, sel, vinaigre, curcuma], sel, dextrose, stabilisateur : gomme de cellulose, conservateur : sorbate de potassium, colorant : ?-carotène, arôme)","en:eggs,en:mustard",,"E150 - Caramel,E160a - Carotene,E202 - Potassium sorbate,E316 - Sodium erythorbate,E466 - Sodium carboxy methyl cellulose",,,,,,PENDING
00001233,Coop Croissant Naturell 60g,"Hvetemel, smør (fløte (melk), melkesyrebakterier), vann, sukker, gjær, salt, egg, hvetegluten, enzym, melbehandlingsmiddel (E 300).",,,E300 - Ascorbic acid,,,,,,PENDING
